0.0,1.0,4.0,0.0,1.4,c,0,0,1
1.0,0.0,3.0,0.0,3.1,c,1,1,2
2.0,0.0,3.0,0.0,1.6,n,2,2,2
3.0,2.0,10.0,0.0,2.9,n,4,4,4
4.0,2.0,10.0,0.0,0.8,n,2,2,3
5.0,2.0,9.0,0.0,2.3,c,7,7,6
6.0,0.0,4.0,0.0,3.3,c,5,5,1
7.0,0.0,4.0,0.0,2.2,c,1,1,5
8.0,2.0,2.0,0.0,4.2,c,8,8,4
9.0,2.0,14.0,0.0,2.4,n,3,3,2
10.0,0.0,6.0,0.0,0.9,c,0,0,3
11.0,1.0,3.0,0.0,2.7,n,6,6,1
12.0,1.0,9.0,0.0,2.1,c,11,11,5
13.0,1.0,3.0,0.0,3.5,n,1,1,3
14.0,2.0,7.0,0.0,2.7,n,3,3,3
15.0,1.0,8.0,0.0,2.0,c,4,4,4
16.0,1.0,4.0,0.0,2.3,c,5,5,1
17.0,0.0,2.0,0.0,0.9,n,9,9,6
18.0,1.0,3.0,0.0,1.8,n,13,13,6
19.0,2.0,5.0,0.0,1.6,n,15,15,1
20.0,0.0,2.0,0.0,2.0,c,2,2,5
