0.0,1.0,4.0,0.0,1.4
1.0,0.0,3.0,0.0,3.1
2.0,0.0,3.0,0.0,1.6
3.0,2.0,10.0,0.0,2.9
4.0,2.0,10.0,0.0,0.8
5.0,2.0,9.0,0.0,2.3
6.0,0.0,4.0,0.0,3.3
7.0,0.0,4.0,0.0,2.2
8.0,2.0,2.0,0.0,4.2
9.0,2.0,14.0,0.0,2.4
10.0,0.0,6.0,0.0,0.9
11.0,1.0,3.0,0.0,2.7
12.0,1.0,9.0,0.0,2.1
13.0,1.0,3.0,0.0,3.5
14.0,2.0,7.0,0.0,2.7
15.0,1.0,8.0,0.0,2.0
16.0,1.0,4.0,0.0,2.3
17.0,0.0,2.0,0.0,0.9
18.0,1.0,3.0,0.0,1.8
19.0,2.0,5.0,0.0,1.6
20.0,0.0,2.0,0.0,2.0
21.0,0.0,4.0,0.0,1.3
22.0,0.0,4.0,0.0,2.0
23.0,2.0,14.0,0.0,3.5
24.0,1.0,7.0,0.0,2.4
25.0,1.0,1.0,0.0,2.9
26.0,0.0,3.0,0.0,4.1
27.0,2.0,4.0,0.0,3.8
28.0,1.0,5.0,0.0,3.8
29.0,1.0,6.0,0.0,2.3
30.0,2.0,8.0,0.0,3.4
31.0,0.0,2.0,0.0,3.0
32.0,0.0,5.0,0.0,2.3
33.0,0.0,2.0,0.0,2.5
34.0,2.0,8.0,0.0,3.9
35.0,1.0,6.0,0.0,1.7
36.0,1.0,6.0,0.0,3.1
37.0,2.0,5.0,0.0,1.8
38.0,0.0,3.0,0.0,2.8
39.0,0.0,3.0,0.0,2.6
40.0,2.0,4.0,0.0,3.3
41.0,0.0,3.0,3.5,3.9
42.0,0.0,4.0,3.5,3.8
43.0,0.0,2.0,3.5,2.7
44.0,1.0,5.0,3.5,1.8
45.0,1.0,8.0,3.5,2.3
46.0,0.0,3.0,3.5,2.8
47.0,0.0,3.0,3.5,2.7
48.0,1.0,2.0,3.5,0.7
49.0,0.0,2.0,3.5,1.8
